location,population,date,highest_infection_count,percentage_of_population_infected_with_covid
Gibraltar,32677,10/22/2022,20121,61.5800
Gibraltar,32677,10/21/2022,20121,61.5800
Gibraltar,32677,10/20/2022,20121,61.5800
Gibraltar,32677,10/19/2022,20121,61.5800
Gibraltar,32677,10/18/2022,20121,61.5800
Gibraltar,32677,10/17/2022,20121,61.5800
Gibraltar,32677,10/16/2022,20121,61.5800
Gibraltar,32677,10/15/2022,20121,61.5800
Gibraltar,32677,10/13/2022,20121,61.5800
Gibraltar,32677,10/14/2022,20121,61.5800
Gibraltar,32677,11/3/2022,20121,61.5800
Gibraltar,32677,11/2/2022,20121,61.5800
Gibraltar,32677,11/1/2022,20121,61.5800
Gibraltar,32677,10/31/2022,20121,61.5800
Gibraltar,32677,10/30/2022,20121,61.5800
Gibraltar,32677,10/29/2022,20121,61.5800
Gibraltar,32677,10/28/2022,20121,61.5800
Gibraltar,32677,10/27/2022,20121,61.5800
Gibraltar,32677,10/26/2022,20121,61.5800
Gibraltar,32677,10/25/2022,20121,61.5800
Gibraltar,32677,10/24/2022,20121,61.5800
Gibraltar,32677,10/23/2022,20121,61.5800
Gibraltar,32677,10/12/2022,20095,61.5000
Gibraltar,32677,10/11/2022,20095,61.5000
Gibraltar,32677,10/10/2022,20095,61.5000
Gibraltar,32677,10/9/2022,20095,61.5000
Gibraltar,32677,10/8/2022,20095,61.5000
Gibraltar,32677,10/7/2022,20095,61.5000
Gibraltar,32677,10/6/2022,20095,61.5000
Gibraltar,32677,10/5/2022,20095,61.5000
Gibraltar,32677,10/4/2022,20095,61.5000
Gibraltar,32677,10/3/2022,20095,61.5000
Gibraltar,32677,10/2/2022,20095,61.5000
Gibraltar,32677,10/1/2022,20095,61.5000
Gibraltar,32677,9/30/2022,20095,61.5000
Gibraltar,32677,9/29/2022,20092,61.4900
Gibraltar,32677,9/28/2022,20092,61.4900
Gibraltar,32677,9/27/2022,20092,61.4900
Gibraltar,32677,9/26/2022,20092,61.4900
Gibraltar,32677,9/25/2022,20092,61.4900
Gibraltar,32677,9/24/2022,20092,61.4900
Gibraltar,32677,9/23/2022,20092,61.4900
Gibraltar,32677,9/22/2022,20092,61.4900
Gibraltar,32677,9/21/2022,20069,61.4200
Gibraltar,32677,9/20/2022,20069,61.4200
Gibraltar,32677,9/19/2022,20069,61.4200
Gibraltar,32677,9/18/2022,20069,61.4200
Gibraltar,32677,9/17/2022,20069,61.4200
Gibraltar,32677,9/16/2022,20069,61.4200
Gibraltar,32677,9/15/2022,20069,61.4200
Gibraltar,32677,9/14/2022,20069,61.4200
Gibraltar,32677,9/13/2022,20069,61.4200
Gibraltar,32677,9/12/2022,20069,61.4200
Gibraltar,32677,9/11/2022,20069,61.4200
Gibraltar,32677,9/10/2022,20069,61.4200
Gibraltar,32677,9/9/2022,20069,61.4200
Gibraltar,32677,9/8/2022,20069,61.4200
Gibraltar,32677,9/7/2022,20069,61.4200
Gibraltar,32677,9/6/2022,20069,61.4200
Gibraltar,32677,9/5/2022,20069,61.4200
Gibraltar,32677,9/4/2022,20069,61.4200
Gibraltar,32677,9/3/2022,20069,61.4200
Gibraltar,32677,9/2/2022,20069,61.4200
Gibraltar,32677,9/1/2022,20069,61.4200
Gibraltar,32677,8/31/2022,20049,61.3600
Gibraltar,32677,8/30/2022,20049,61.3600
Gibraltar,32677,8/29/2022,20049,61.3600
Gibraltar,32677,8/28/2022,20049,61.3600
Gibraltar,32677,8/27/2022,20049,61.3600
Gibraltar,32677,8/26/2022,20049,61.3600
Gibraltar,32677,8/25/2022,20049,61.3600
Gibraltar,32677,8/24/2022,20049,61.3600
Gibraltar,32677,8/23/2022,20049,61.3600
Gibraltar,32677,8/22/2022,20049,61.3600
Gibraltar,32677,8/21/2022,20049,61.3600
Gibraltar,32677,8/20/2022,20049,61.3600
Gibraltar,32677,8/19/2022,20049,61.3600
Gibraltar,32677,8/18/2022,20049,61.3600
Gibraltar,32677,8/17/2022,20034,61.3100
Gibraltar,32677,8/16/2022,20034,61.3100
Gibraltar,32677,8/15/2022,20034,61.3100
Gibraltar,32677,8/14/2022,20034,61.3100
Gibraltar,32677,8/13/2022,20034,61.3100
Gibraltar,32677,8/12/2022,20034,61.3100
Gibraltar,32677,8/11/2022,19999,61.2000
Gibraltar,32677,8/10/2022,19999,61.2000
Gibraltar,32677,8/9/2022,19999,61.2000
Gibraltar,32677,8/8/2022,19999,61.2000
